ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
205826_at	1	0.10037447	1.725293	-4.47	1.0716053	MYOM2	myomesin 2
211326_x_at	1	0.10047782	1.72473	-4.47	0.5425514	HFE	hemochromatosis
218700_s_at	1	0.10048755	1.724677	-4.47	0.2511934	RAB29	RAB29, member RAS oncogene family
207258_at	1	0.10052645	1.724466	-4.47	0.9277512	DSCR4	Down syndrome critical region 4
212384_at	1	0.10055341	1.724319	-4.47	0.5000899	ATP6V1G2-DDX39B///SNORD84///DDX39B	ATP6V1G2-DDX39B readthrough (NMD candidate)///small nucleolar RNA, C/D box 84///DEAD-box helicase 39B
217738_at	1	0.10068089	-1.723626	-4.47	-0.441003	NAMPT	nicotinamide phosphoribosyltransferase
200005_at	1	0.10084307	-1.722746	-4.47	-0.341216	EIF3D	eukaryotic translation initiation factor 3 subunit D
221676_s_at	1	0.10089481	-1.722466	-4.47	-0.5037584	CORO1C	coronin 1C
207248_at	1	0.10089932	1.722441	-4.47	0.5623127	KCNA4	potassium voltage-gated channel subfamily A member 4
217010_s_at	1	0.10093325	1.722257	-4.47	0.8060461	CDC25C	cell division cycle 25C
212521_s_at	1	0.10093763	-1.722234	-4.47	-0.4390063	PDE8A	phosphodiesterase 8A
203041_s_at	1	0.1010189	1.721793	-4.47	0.2688022	LAMP2	lysosomal associated membrane protein 2
209798_at	1	0.10104992	1.721625	-4.47	0.3163471	NPAT	nuclear protein, coactivator of histone transcription
207888_at	1	0.10105241	1.721612	-4.47	1.0339482		
218954_s_at	1	0.10111035	-1.721298	-4.47	-0.7494882	BRF2	BRF2, RNA polymerase III transcription initiation factor 50 kDa subunit
209682_at	1	0.10117789	1.720933	-4.47	0.3110646	CBLB	Cbl proto-oncogene B
200970_s_at	1	0.10127356	-1.720416	-4.47	-0.2232295	SERP1	stress-associated endoplasmic reticulum protein 1
221288_at	1	0.10134928	1.720007	-4.47	0.8211795	GPR22	G protein-coupled receptor 22
218311_at	1	0.10137654	-1.71986	-4.47	-0.3513877	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3
213475_s_at	1	0.10137966	1.719843	-4.47	0.2785216	ITGAL	integrin subunit alpha L
204326_x_at	1	0.10148123	1.719295	-4.47	0.2691235	MT1X	metallothionein 1X
206353_at	1	0.1015577	-1.718883	-4.47	-0.4646423	COX6A2	cytochrome c oxidase subunit 6A2
221876_at	1	0.10157808	1.718773	-4.47	0.2454546	ZNF783	zinc finger family member 783
212493_s_at	1	0.10159422	-1.718686	-4.47	-0.2591027	SETD2	SET domain containing 2
203757_s_at	1	0.10161121	1.718594	-4.47	1.0885509	CEACAM6	carcinoembryonic antigen related cell adhesion molecule 6
201109_s_at	1	0.10164363	-1.71842	-4.47	-0.9937017	THBS1	thrombospondin 1
220992_s_at	1	0.10186971	1.717203	-4.47	0.4998568	TRMT1L	tRNA methyltransferase 1 like
212048_s_at	1	0.10187825	1.717157	-4.47	0.293357	YARS	tyrosyl-tRNA synthetase
214441_at	1	0.10194379	-1.716805	-4.47	-0.5367625	STX6	syntaxin 6
205742_at	1	0.10194473	1.7168	-4.47	0.6888184	TNNI3	troponin I3, cardiac type
216322_at	1	0.10195408	-1.71675	-4.47	-0.6626472	CD58	CD58 molecule
202626_s_at	1	0.10197242	-1.716651	-4.47	-0.4243359	LYN	LYN proto-oncogene, Src family tyrosine kinase
219007_at	1	0.10201751	1.716409	-4.47	0.5453873	NUP43	nucleoporin 43
203596_s_at	1	0.10222045	1.71532	-4.47	0.4049679	IFIT5	interferon induced protein with tetratricopeptide repeats 5
219922_s_at	1	0.102255	-1.715135	-4.47	-0.4461013	LTBP3	latent transforming growth factor beta binding protein 3
206784_at	1	0.10226494	1.715082	-4.47	0.6768596	AQP8	aquaporin 8
209086_x_at	1	0.10236257	-1.714559	-4.47	-0.4203455	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule
215382_x_at	1	0.10236391	-1.714552	-4.47	-0.7257606	TPSAB1	tryptase alpha/beta 1
210314_x_at	1	0.10246101	-1.714032	-4.47	-1.0116204	TNFSF13	tumor necrosis factor superfamily member 13
220142_at	1	0.1024947	1.713852	-4.47	0.6929097	HAPLN2	hyaluronan and proteoglycan link protein 2
220400_at	1	0.10255118	-1.71355	-4.47	-0.7247681	VPS13B	vacuolar protein sorting 13 homolog B
220757_s_at	1	0.10272713	-1.71261	-4.47	-0.4879174	MIR4746///UBXN6	microRNA 4746///UBX domain protein 6
207132_x_at	1	0.10272772	-1.712607	-4.47	-0.3280112	PFDN5	prefoldin subunit 5
221804_s_at	1	0.102868	1.711858	-4.47	0.296502	FAM45A///FAM45BP	family with sequence similarity 45 member A///family with sequence similarity 45, member A pseudogene
213279_at	1	0.10287952	1.711797	-4.47	0.2607614	DHRS1	dehydrogenase/reductase 1
220685_at	1	0.10289946	1.711691	-4.47	0.7923417	FAM120C	family with sequence similarity 120C
215520_at	1	0.1029543	1.711399	-4.47	0.9470202	PYGO1	pygopus family PHD finger 1
202345_s_at	1	0.10296485	1.711342	-4.47	0.5400632	FABP5	fatty acid binding protein 5
212151_at	1	0.10314064	-1.710407	-4.47	-0.5421915	PBX1	PBX homeobox 1
209305_s_at	1	0.10336705	-1.709203	-4.47	-0.4160404	GADD45B	growth arrest and DNA damage inducible beta
203502_at	1	0.10341268	-1.708961	-4.47	-0.3999651	BPGM	bisphosphoglycerate mutase
204550_x_at	1	0.10348105	-1.708598	-4.47	-0.4248135	GSTM1	glutathione S-transferase mu 1
207697_x_at	1	0.10349696	-1.708514	-4.47	-0.5395162	LILRB2	leukocyte immunoglobulin like receptor B2
210732_s_at	1	0.10356765	1.708139	-4.47	0.8656597	LGALS8	galectin 8
206964_at	1	0.10357337	-1.708109	-4.47	-0.6307832	NAT8B	N-acetyltransferase 8B (putative, gene/pseudogene)
201943_s_at	1	0.1035903	-1.708019	-4.47	-0.3686024	CPD	carboxypeptidase D
210287_s_at	1	0.10359168	1.708012	-4.47	1.1480536	FLT1	fms related tyrosine kinase 1
212657_s_at	1	0.1036068	-1.707932	-4.47	-0.7071762	IL1RN	interleukin 1 receptor antagonist
200673_at	1	0.10365022	-1.707702	-4.47	-0.2529789	LAPTM4A	lysosomal protein transmembrane 4 alpha
207371_at	1	0.10370469	1.707413	-4.47	1.4668449		
205169_at	1	0.10379509	1.706935	-4.47	0.4607163	RBBP5	RB binding protein 5, histone lysine methyltransferase complex subunit
204203_at	1	0.10384607	-1.706665	-4.47	-0.3462919	CEBPG	CCAAT/enhancer binding protein gamma
206877_at	1	0.10388198	-1.706475	-4.47	-0.9607987	MXD1	MAX dimerization protein 1
218647_s_at	1	0.10402189	-1.705736	-4.47	-0.2750162	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing
205237_at	1	0.10405359	-1.705569	-4.47	-0.6983851	FCN1	ficolin 1
205754_at	1	0.10409362	-1.705358	-4.47	-0.9463854	F2	coagulation factor II, thrombin
217391_x_at	1	0.10409669	-1.705341	-4.47	-0.4854775		
208093_s_at	1	0.10427709	-1.70439	-4.47	-0.2161656	NDEL1	nudE neurodevelopment protein 1 like 1
208009_s_at	1	0.10438949	1.703798	-4.48	0.5642178	ARHGEF16	Rho guanine nucleotide exchange factor 16
204628_s_at	1	0.10442478	-1.703612	-4.48	-0.7240005	ITGB3	integrin subunit beta 3
204487_s_at	1	0.1044395	-1.703535	-4.48	-0.3529896	KCNQ1	potassium voltage-gated channel subfamily Q member 1
212205_at	1	0.10450611	-1.703184	-4.48	-0.2601134	H2AFV	H2A histone family member V
200808_s_at	1	0.10456926	-1.702852	-4.48	-0.5385889	ZYX	zyxin
215358_x_at	1	0.10461858	-1.702593	-4.48	-0.4335988	ZNF37BP	zinc finger protein 37B, pseudogene
205442_at	1	0.10461956	-1.702588	-4.48	-1.6099201	MFAP3L	microfibrillar associated protein 3 like
211178_s_at	1	0.10493825	-1.700915	-4.48	-0.4046154	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1
221485_at	1	0.10504215	1.700371	-4.48	0.2880266	B4GALT5	beta-1,4-galactosyltransferase 5
221652_s_at	1	0.1050901	1.70012	-4.48	0.3470196	ASUN	asunder, spermatogenesis regulator
212435_at	1	0.10511406	1.699995	-4.48	0.3151326	TRIM33	tripartite motif containing 33
211426_x_at	1	0.10534783	-1.698772	-4.48	-0.3374325	GNAQ	G protein subunit alpha q
219354_at	1	0.1053807	-1.698601	-4.48	-0.8315018	KLHL26	kelch like family member 26
200936_at	1	0.10543607	-1.698312	-4.48	-0.2676507	RPL8	ribosomal protein L8
212352_s_at	1	0.10543665	-1.698309	-4.48	-0.2267478	TMED10	transmembrane p24 trafficking protein 10
217171_at	1	0.10550081	-1.697974	-4.48	-0.6031353	SMPD1	sphingomyelin phosphodiesterase 1
211541_s_at	1	0.10571493	1.696858	-4.48	0.8936459	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A
209639_s_at	1	0.10577529	-1.696543	-4.48	-1.2524053	RGS12	regulator of G-protein signaling 12
202863_at	1	0.10586988	1.696051	-4.48	0.3083258	SP100	SP100 nuclear antigen
219649_at	1	0.10593122	1.695732	-4.48	0.295986	ALG6	ALG6, alpha-1,3-glucosyltransferase
212931_at	1	0.10596273	1.695568	-4.48	0.2899577	TCF20	transcription factor 20
210000_s_at	1	0.10596991	-1.695531	-4.48	-1.061689	SOCS1	suppressor of cytokine signaling 1
222094_at	1	0.10605515	1.695088	-4.48	0.7551123	SLX1A-SULT1A3///SLX1A///SULT1A4///SLX1B///SULT1A3	SLX1A-SULT1A3 readthrough (NMD candidate)///SLX1 homolog A, structure-specific endonuclease subunit///sulfotransferase family 1A member 4///SLX1 homolog B, structure-specific endonuclease subunit///sulfotransferase family 1A member 3
205001_s_at	1	0.1060977	1.694867	-4.48	0.3767111	DDX3Y	DEAD-box helicase 3, Y-linked
219858_s_at	1	0.10625872	-1.694032	-4.48	-0.4218848	MFSD6	major facilitator superfamily domain containing 6
201730_s_at	1	0.10630824	1.693775	-4.48	0.2898711	TPR	translocated promoter region, nuclear basket protein
205900_at	1	0.10633406	-1.693641	-4.48	-0.6278251	KRT1	keratin 1
217882_at	1	0.10642863	-1.693151	-4.48	-0.2895566	EMC3	ER membrane protein complex subunit 3
219634_at	1	0.10645792	-1.693	-4.48	-0.4142451	CHST11	carbohydrate (chondroitin 4) sulfotransferase 11
206876_at	1	0.10646017	-1.692988	-4.48	-1.0249257	SIM1	single-minded family bHLH transcription factor 1
221428_s_at	1	0.10648376	-1.692866	-4.48	-0.3537127	TBL1XR1	transducin (beta)-like 1 X-linked receptor 1
211638_at	1	0.10660868	1.69222	-4.48	0.7996943	IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH	immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
210788_s_at	1	0.10663247	-1.692097	-4.48	-0.3460991	DHRS7	dehydrogenase/reductase 7
222330_at	1	0.106672	1.691892	-4.48	1.0668443		
218351_at	1	0.10673826	1.69155	-4.48	0.2631889	COMMD8	COMM domain containing 8
204763_s_at	1	0.10689289	-1.690752	-4.48	-0.8983991	GNAO1	G protein subunit alpha o1
215929_at	1	0.10691082	-1.690659	-4.48	-1.2281879	LINC00837	long intergenic non-protein coding RNA 837
219629_at	1	0.10692495	-1.690586	-4.48	-0.6172908	FAM118A	family with sequence similarity 118 member A
221098_x_at	1	0.10704442	1.689971	-4.48	0.9916154	UTP14A	UTP14A small subunit processome component
203148_s_at	1	0.10712206	1.689571	-4.48	0.3075108	TRIM14	tripartite motif containing 14
221465_at	1	0.10718384	-1.689253	-4.48	-0.6535051	OR6A2	olfactory receptor family 6 subfamily A member 2
209301_at	1	0.10724804	-1.688922	-4.48	-1.3911834	CA2	carbonic anhydrase 2
219624_at	1	0.10734662	-1.688415	-4.48	-0.2561339	BAG4	BCL2 associated athanogene 4
209807_s_at	1	0.10745263	1.687871	-4.48	1.004805	NFIX	nuclear factor I X
213053_at	1	0.10747317	1.687765	-4.48	0.5498461	HAUS5	HAUS augmin like complex subunit 5
212999_x_at	1	0.10749379	-1.687659	-4.48	-1.49884	LOC101060835///HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain-like///major histocompatibility complex, class II, DQ beta 1
213713_s_at	1	0.10751679	-1.687541	-4.48	-0.5272618	GLB1L2	galactosidase beta 1 like 2
200607_s_at	1	0.10758015	1.687216	-4.48	0.2976254	RAD21	RAD21 cohesin complex component
206812_at	1	0.1075826	-1.687203	-4.48	-0.6026231	ADRB3	adrenoceptor beta 3
215380_s_at	1	0.10761945	1.687014	-4.48	0.2835612	GGCT	gamma-glutamylcyclotransferase
202377_at	1	0.10771126	-1.686544	-4.48	-0.340334	LEPROT	leptin receptor overlapping transcript
218789_s_at	1	0.10785784	1.685793	-4.48	0.2665225	C11orf71	chromosome 11 open reading frame 71
202846_s_at	1	0.10786429	1.68576	-4.48	0.2780094	PIGC	phosphatidylinositol glycan anchor biosynthesis class C
208497_x_at	1	0.10788336	-1.685662	-4.48	-0.8070326	NEUROG1	neurogenin 1
216443_at	1	0.10789502	-1.685602	-4.48	-0.584413		
202225_at	1	0.107925	1.685449	-4.48	0.4448018	CRK	CRK proto-oncogene, adaptor protein
201580_s_at	1	0.10812491	-1.684427	-4.48	-0.3177979	TMX4	thioredoxin related transmembrane protein 4
214352_s_at	1	0.10820159	1.684035	-4.48	0.3113435	KRAS	KRAS proto-oncogene, GTPase
206855_s_at	1	0.10828824	-1.683593	-4.48	-0.4701704	HYAL2	hyaluronoglucosaminidase 2
202595_s_at	1	0.10830794	-1.683493	-4.48	-0.276542	LEPROTL1	leptin receptor overlapping transcript-like 1
215712_s_at	1	0.10834552	1.683301	-4.48	1.0172582	IGFALS	insulin like growth factor binding protein acid labile subunit
201060_x_at	1	0.10835314	1.683262	-4.48	0.3094712	STOM	stomatin
207526_s_at	1	0.10840274	-1.683009	-4.48	-0.4702059	IL1RL1	interleukin 1 receptor like 1
215251_at	1	0.10850004	-1.682513	-4.48	-0.8488643		
208803_s_at	1	0.10852557	-1.682383	-4.48	-0.2640151	SRP72	signal recognition particle 72
204197_s_at	1	0.10855124	-1.682253	-4.48	-0.3469716	RUNX3	runt related transcription factor 3
219714_s_at	1	0.10861267	-1.68194	-4.48	-0.8974834	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3
207023_x_at	1	0.10877173	-1.681131	-4.48	-0.2719736	KRT10	keratin 10
215672_s_at	1	0.108896	-1.6805	-4.48	-0.7732766	AHCYL2	adenosylhomocysteinase like 2
201670_s_at	1	0.1088967	1.680496	-4.48	1.0088561	MARCKS	myristoylated alanine rich protein kinase C substrate
219737_s_at	1	0.10894278	-1.680262	-4.48	-0.828536	PCDH9	protocadherin 9
220597_s_at	1	0.10901797	-1.679881	-4.48	-0.2985585	ARL6IP4	ADP ribosylation factor like GTPase 6 interacting protein 4
222105_s_at	1	0.10913108	1.679307	-4.48	0.6401773	NKIRAS2	NFKB inhibitor interacting Ras like 2
208835_s_at	1	0.10918775	1.67902	-4.48	0.3193714	LUC7L3	LUC7 like 3 pre-mRNA splicing factor
203010_at	1	0.10920437	1.678936	-4.48	0.291123	STAT5A	signal transducer and activator of transcription 5A
218989_x_at	1	0.10924833	1.678713	-4.48	0.29076	SLC30A5	solute carrier family 30 member 5
203956_at	1	0.10927449	1.678581	-4.48	0.4392356	MORC2	MORC family CW-type zinc finger 2
210686_x_at	1	0.10930402	1.678431	-4.48	0.2378153	SLC25A16	solute carrier family 25 member 16
219337_at	1	0.1093162	-1.678369	-4.48	-0.4192817	C1orf159	chromosome 1 open reading frame 159
211626_x_at	1	0.10945983	-1.677643	-4.48	-0.8135944	ERG	ERG, ETS transcription factor
204129_at	1	0.1094985	-1.677447	-4.48	-0.5197578	BCL9	B-cell CLL/lymphoma 9
217565_at	1	0.10951691	-1.677354	-4.48	-0.7729229	GRIA3	glutamate ionotropic receptor AMPA type subunit 3
213415_at	1	0.10958151	-1.677028	-4.48	-0.9572103	CLIC2	chloride intracellular channel 2
212341_at	1	0.10969829	1.676438	-4.48	0.4800294	YIPF6	Yip1 domain family member 6
217021_at	1	0.10970546	1.676402	-4.48	0.4982518	CYB5A	cytochrome b5 type A
208525_s_at	1	0.11024536	1.673684	-4.48	0.5991771	OR2F2///OR2F1	olfactory receptor family 2 subfamily F member 2///olfactory receptor family 2 subfamily F member 1 (gene/pseudogene)
216621_at	1	0.11028686	1.673475	-4.48	0.8621192		
206848_at	1	0.11029508	1.673434	-4.48	0.2498091	COX20	COX20, cytochrome c oxidase assembly factor
205952_at	1	0.11033894	-1.673214	-4.48	-1.0002918	KCNK3	potassium two pore domain channel subfamily K member 3
215673_at	1	0.11034759	1.67317	-4.48	1.3346538	TEF	TEF, PAR bZIP transcription factor
207580_at	1	0.11041446	1.672835	-4.48	1.2156223	MAGEB4	MAGE family member B4
206122_at	1	0.11046802	-1.672566	-4.48	-0.5826645	SOX15	SRY-box 15
216914_at	1	0.11047863	-1.672513	-4.48	-0.4969241	CDC25C	cell division cycle 25C
204662_at	1	0.11049326	1.672439	-4.48	0.382681	CCP110	centriolar coiled-coil protein 110
203374_s_at	1	0.11062509	1.671778	-4.48	0.4101514	TPP2	tripeptidyl peptidase 2
214535_s_at	1	0.11070659	1.67137	-4.48	0.5888941	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2
221573_at	1	0.11074207	-1.671193	-4.48	-0.5946239	C7orf25///PSMA2	chromosome 7 open reading frame 25///proteasome subunit alpha 2
215692_s_at	1	0.11078593	-1.670973	-4.48	-0.9388964	MPPED2	metallophosphoesterase domain containing 2
207401_at	1	0.11080659	-1.67087	-4.48	-0.6998479	PROX1	prospero homeobox 1
221150_at	1	0.11089164	-1.670444	-4.48	-0.6467479	MEPE	matrix extracellular phosphoglycoprotein
213553_x_at	1	0.11118244	-1.668992	-4.48	-0.5271246	APOC1	apolipoprotein C1
204992_s_at	1	0.11123144	-1.668748	-4.48	-0.353538	PFN2	profilin 2
201329_s_at	1	0.11124738	-1.668668	-4.48	-0.5155938	ETS2	ETS proto-oncogene 2, transcription factor
212884_x_at	1	0.11125261	-1.668642	-4.48	-0.4435305	APOE	apolipoprotein E
56919_at	1	0.11133796	1.668217	-4.48	0.3032609	WDR48	WD repeat domain 48
213856_at	1	0.11138101	1.668002	-4.48	0.4978002	CD47	CD47 molecule
205806_at	1	0.11138698	1.667972	-4.48	0.8555875	ROM1	retinal outer segment membrane protein 1
212461_at	1	0.11138734	-1.667971	-4.48	-0.1960963	AZIN1	antizyme inhibitor 1
203104_at	1	0.1114422	-1.667697	-4.48	-0.6840112	CSF1R	colony stimulating factor 1 receptor
207584_at	1	0.11155833	1.66712	-4.48	1.0166977	LPA	lipoprotein(a)
212735_at	1	0.1115975	1.666925	-4.48	0.2145258	RUBCN	RUN and cysteine rich domain containing beclin 1 interacting protein
205768_s_at	1	0.11165087	1.666659	-4.48	0.9132207	SLC27A2	solute carrier family 27 member 2
212099_at	1	0.11171567	1.666337	-4.48	0.6599994	RHOB	ras homolog family member B
220289_s_at	1	0.11173704	1.666231	-4.48	0.5749798	AIM1L	absent in melanoma 1-like
217193_x_at	1	0.1117774	-1.666031	-4.48	-0.7336777		
204348_s_at	1	0.11178134	1.666011	-4.48	0.6379295	LOC100507855///AK4	adenylate kinase 4, mitochondrial-like///adenylate kinase 4
214407_x_at	1	0.11190434	1.665401	-4.48	1.0240157	GYPB	glycophorin B (MNS blood group)
207991_x_at	1	0.11210506	1.664405	-4.48	0.320463	ACRV1	acrosomal vesicle protein 1
216532_x_at	1	0.11214113	1.664227	-4.48	1.0146554		
212292_at	1	0.1121706	1.664081	-4.48	0.6048855	SLC7A1	solute carrier family 7 member 1
210497_x_at	1	0.11217926	-1.664038	-4.48	-0.5862108	SSX2B///SSX2	SSX family member 2B///SSX family member 2
215806_x_at	1	0.11223246	1.663775	-4.48	0.4646124	TARP///TRGV9///TRGC2	TCR gamma alternate reading frame protein///T cell receptor gamma variable 9///T cell receptor gamma constant 2
217319_x_at	1	0.11223277	1.663773	-4.48	0.8138666	CYP4A22///CYP4A11	cytochrome P450 family 4 subfamily A member 22///cytochrome P450 family 4 subfamily A member 11
219848_s_at	1	0.11224947	-1.663691	-4.48	-0.3943062	ZNF432	zinc finger protein 432
212055_at	1	0.11228337	-1.663523	-4.48	-0.3514256	TPGS2	tubulin polyglutamylase complex subunit 2
211868_x_at	1	0.11242966	1.6628	-4.48	1.2224615	IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHD///IGHA2///IGHA1///IGH	immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 3 (G3m marker)///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus
216562_at	1	0.11251358	-1.662385	-4.48	-0.9917182		
212368_at	1	0.11264084	1.661757	-4.48	0.2533347	ZNF292	zinc finger protein 292
204160_s_at	1	0.11289808	-1.660489	-4.48	-0.3116099	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)
205882_x_at	1	0.11290382	1.660461	-4.48	0.2246169	ADD3	adducin 3
209124_at	1	0.11292395	1.660361	-4.48	0.2686744	MYD88	myeloid differentiation primary response 88
207503_at	1	0.11300382	-1.659968	-4.48	-0.4600971	TCP10	t-complex 10
210760_x_at	1	0.11321769	-1.658917	-4.48	-0.6747802	TRIP11	thyroid hormone receptor interactor 11
218423_x_at	1	0.11324636	1.658776	-4.48	0.2043982	VPS54	VPS54, GARP complex subunit
209913_x_at	1	0.11338294	1.658106	-4.48	0.6345725	MIR4656///AP5Z1	microRNA 4656///adaptor related protein complex 5 zeta 1 subunit
207913_at	1	0.11341741	1.657937	-4.48	0.7763382	CYP2F1	cytochrome P450 family 2 subfamily F member 1
215596_s_at	1	0.11343244	1.657863	-4.48	0.4348829	LTN1	listerin E3 ubiquitin protein ligase 1
210403_s_at	1	0.1135029	-1.657517	-4.48	-0.5306585	KCNJ1	potassium voltage-gated channel subfamily J member 1
203196_at	1	0.11359825	-1.65705	-4.48	-0.4823202	ABCC4	ATP binding cassette subfamily C member 4
201144_s_at	1	0.11364347	1.656829	-4.48	0.3023968	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha
216314_at	1	0.11380849	-1.656021	-4.48	-1.101739	CRISP1	cysteine rich secretory protein 1
208690_s_at	1	0.11381614	-1.655984	-4.48	-0.8246529	PDLIM1	PDZ and LIM domain 1
213591_at	1	0.11382004	-1.655965	-4.48	-1.1283779	ALDH7A1	aldehyde dehydrogenase 7 family member A1
212033_at	1	0.11387666	1.655688	-4.49	0.3280154	RBM25	RNA binding motif protein 25
215417_at	1	0.11388115	1.655666	-4.49	1.0180493	EXOC6B	exocyst complex component 6B
203008_x_at	1	0.11393639	1.655396	-4.49	0.4337661	TXNDC9	thioredoxin domain containing 9
219348_at	1	0.11397252	-1.655219	-4.49	-0.7273497	USE1	unconventional SNARE in the ER 1
205227_at	1	0.11399438	1.655113	-4.49	0.7467334	IL1RAP	interleukin 1 receptor accessory protein
215540_at	1	0.11400144	-1.655078	-4.49	-0.7468378	YME1L1	YME1 like 1 ATPase
217486_s_at	1	0.11402487	1.654964	-4.49	1.1084271	ZDHHC17	zinc finger DHHC-type containing 17
217814_at	1	0.11404791	1.654851	-4.49	0.3272238	CCDC47	coiled-coil domain containing 47
217938_s_at	1	0.1140622	-1.654782	-4.49	-0.2198619	KCMF1	potassium channel modulatory factor 1
206390_x_at	1	0.1140667	-1.65476	-4.49	-1.7536505	PF4	platelet factor 4
205220_at	1	0.11410093	-1.654592	-4.49	-1.0816101	HCAR3	hydroxycarboxylic acid receptor 3
214834_at	1	0.11417755	1.654219	-4.49	0.5476271	PWAR5	Prader Willi/Angelman region RNA 5
213229_at	1	0.11421062	1.654057	-4.49	0.3491187	DICER1	dicer 1, ribonuclease III
214131_at	1	0.11429311	1.653655	-4.49	0.3753157	TXLNGY	taxilin gamma pseudogene, Y-linked
43511_s_at	1	0.11430586	-1.653593	-4.49	-0.3020219	ARRB1	arrestin beta 1
208247_at	1	0.11457641	1.652276	-4.49	1.0165147	ERC2-IT1	ERC2 intronic transcript 1
219078_at	1	0.1146073	-1.652126	-4.49	-0.2367699	GPATCH2	G-patch domain containing 2
218262_at	1	0.11467493	1.651797	-4.49	0.2370653	RMND5B	required for meiotic nuclear division 5 homolog B
204764_at	1	0.11473301	-1.651515	-4.49	-0.6698438	CHURC1-FNTB///FNTB	CHURC1-FNTB readthrough///farnesyltransferase, CAAX box, beta
204597_x_at	1	0.11475942	-1.651387	-4.49	-0.8254665	STC1	stanniocalcin 1
206655_s_at	1	0.11485076	-1.650943	-4.49	-2.0942261	SEPT5-GP1BB///SEPT5///GP1BB	SEPT5-GP1BB readthrough///septin 5///glycoprotein Ib platelet beta subunit
219090_at	1	0.11489711	-1.650719	-4.49	-0.8347608	SLC24A3	solute carrier family 24 member 3
221092_at	1	0.11497367	1.650347	-4.49	0.4471986	IKZF3	IKAROS family zinc finger 3
211855_s_at	1	0.11500269	-1.650207	-4.49	-0.7841047	SLC25A14	solute carrier family 25 member 14
210057_at	1	0.11509622	1.649753	-4.49	0.4853265	LOC101060386///BOLA2///SMG1	putative uncharacterized SMG1-like protein///bolA family member 2///SMG1, nonsense mediated mRNA decay associated PI3K related kinase
200704_at	1	0.11512365	-1.64962	-4.49	-0.3731654	LITAF	lipopolysaccharide induced TNF factor
210021_s_at	1	0.11521977	1.649155	-4.49	0.8752763	CCNO	cyclin O
210980_s_at	1	0.11523347	-1.649089	-4.49	-0.2646508	ASAH1	N-acylsphingosine amidohydrolase 1
209606_at	1	0.11534433	-1.648553	-4.49	-0.2740566	CYTIP	cytohesin 1 interacting protein
207681_at	1	0.11534437	-1.648552	-4.49	-0.3293036	CXCR3	C-X-C motif chemokine receptor 3
208267_at	1	0.11537293	-1.648414	-4.49	-0.4446784	TRPV5	transient receptor potential cation channel subfamily V member 5
201751_at	1	0.11539414	-1.648312	-4.49	-0.3937512	JOSD1	Josephin domain containing 1
200764_s_at	1	0.11541345	-1.648218	-4.49	-0.5535191	CTNNA1	catenin alpha 1
212307_s_at	1	0.11544137	1.648083	-4.49	0.2543401	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase
204873_at	1	0.11546774	1.647956	-4.49	0.5263752	PEX1	peroxisomal biogenesis factor 1
201926_s_at	1	0.11560713	-1.647283	-4.49	-0.259047	CD55	CD55 molecule (Cromer blood group)
200800_s_at	1	0.11563428	1.647152	-4.49	0.7065161	HSPA1L///HSPA1B///HSPA1A	heat shock protein family A (Hsp70) member 1 like///heat shock protein family A (Hsp70) member 1B///heat shock protein family A (Hsp70) member 1A
220140_s_at	1	0.11576106	1.646541	-4.49	0.6594557	SNX11	sorting nexin 11
211392_s_at	1	0.11576368	-1.646528	-4.49	-0.2379097	PATZ1	POZ/BTB and AT hook containing zinc finger 1
203095_at	1	0.11585191	1.646103	-4.49	0.2631407	MTIF2	mitochondrial translational initiation factor 2
210183_x_at	1	0.11586142	1.646057	-4.49	0.3875776	PNN	pinin, desmosome associated protein
213101_s_at	1	0.11588185	1.645959	-4.49	0.2695365	ACTR3	ARP3 actin related protein 3 homolog
220201_at	1	0.11590933	1.645826	-4.49	0.3203069	RC3H2	ring finger and CCCH-type domains 2
